kind,sequence,rtt_us,ok
response,0,301.333,1
response,1,197.018,1
response,2,195.815,1
response,3,183.481,1
response,4,182.055,1
response,5,374.592,1
response,6,243.203,1
response,7,186.925,1
response,8,188.556,1
response,9,180.815,1
response,10,183.574,1
response,11,191.981,1
response,12,181.574,1
response,13,191.962,1
response,14,183.870,1
response,15,187.147,1
response,16,202.648,1
response,17,182.203,1
response,18,182.499,1
response,19,241.148,1
response,20,178.574,1
response,21,193.352,1
response,22,179.444,1
response,23,181.445,1
response,24,190.685,1
response,25,183.056,1
response,26,185.203,1
response,27,191.463,1
response,28,176.074,1
response,29,175.963,1
response,30,218.241,1
response,31,175.222,1
response,32,174.963,1
response,33,189.537,1
response,34,171.481,1
response,35,175.148,1
response,36,181.481,1
response,37,172.092,1
response,38,262.093,1
response,39,418.777,1
response,40,324.815,1
response,41,211.222,1
response,42,421.036,1
response,43,335.315,1
response,44,177.888,1
response,45,174.444,1
response,46,172.111,1
response,47,169.296,1
response,48,167.592,1
response,49,173.000,1
response,50,161.222,1
response,51,376.556,1
response,52,172.055,1
response,53,156.333,1
response,54,175.833,1
response,55,174.389,1
response,56,159.944,1
response,57,171.352,1
response,58,171.407,1
response,59,158.945,1
response,60,167.981,1
response,61,175.574,1
response,62,161.444,1
response,63,166.278,1
response,64,189.463,1
response,65,162.426,1
response,66,181.722,1
response,67,163.315,1
response,68,159.667,1
response,69,168.796,1
response,70,325.426,1
response,71,158.333,1
response,72,164.944,1
response,73,158.963,1
response,74,158.148,1
response,75,170.778,1
response,76,155.241,1
response,77,155.444,1
response,78,167.555,1
response,79,180.111,1
response,80,181.389,1
response,81,172.018,1
response,82,164.667,1
response,83,164.444,1
response,84,246.371,1
response,85,166.537,1
response,86,158.870,1
response,87,147.278,1
response,88,156.463,1
response,89,158.148,1
response,90,147.111,1
response,91,164.500,1
response,92,162.055,1
response,93,147.074,1
response,94,169.000,1
response,95,154.500,1
response,96,185.000,1
response,97,159.889,1
response,98,154.370,1
response,99,154.741,1
response,100,169.314,1
response,101,151.389,1
response,102,145.740,1
response,103,163.685,1
response,104,149.388,1
response,105,148.426,1
response,106,165.815,1
response,107,159.167,1
response,108,150.944,1
response,109,161.908,1
response,110,151.740,1
response,111,146.148,1
response,112,146.092,1
response,113,171.296,1
response,114,149.518,1
response,115,166.611,1
response,116,162.833,1
response,117,147.092,1
response,118,144.815,1
response,119,152.870,1
response,120,230.796,1
response,121,147.092,1
response,122,146.481,1
response,123,149.426,1
response,124,147.666,1
response,125,155.648,1
response,126,148.314,1
response,127,144.722,1
response,128,153.500,1
response,129,152.685,1
response,130,266.722,1
response,131,146.092,1
response,132,149.389,1
response,133,148.648,1
response,134,207.722,1
response,135,196.333,1
response,136,416.611,1
response,137,149.481,1
response,138,139.907,1
response,139,226.241,1
response,140,334.629,1
response,141,325.685,1
response,142,136.334,1
response,143,213.722,1
response,144,196.685,1
response,145,208.889,1
response,146,282.648,1
response,147,195.926,1
response,148,204.666,1
response,149,187.593,1
response,150,196.518,1
response,151,217.778,1
response,152,271.648,1
response,153,191.703,1
response,154,202.203,1
response,155,194.999,1
response,156,318.444,1
response,157,206.148,1
response,158,197.185,1
