sequence,rtt_us,ok,discarded_bytes,recovered_crc_frames
0,7405.658,1,71,0
1,22060.047,1,950,0
2,52435.305,1,2755,0
3,125159.826,1,6555,0
4,286554.906,1,15675,0
5,649921.42,1,35885,2
6,1006249.277,0,0,0
7,1007950.499,0,0,0
8,1007965.777,0,0,0
9,1007945.056,0,0,0
10,1007968.946,0,0,0
11,1007962.874,0,0,0
12,1007964.263,0,0,0
13,1007942.357,0,0,0
14,1007954.006,0,0,0
15,1007961.452,0,0,0
16,1007945.156,0,0,0
17,1007963.435,0,0,0
18,1007948.528,0,0,0
19,1007956.047,0,0,0
