kind,sequence,rtt_us,ok
response,290,2078.608,1
response,291,2024.813,1
response,292,2022.498,1
response,293,2028.145,1
response,294,1742.128,1
response,295,2029.535,1
response,296,1756.368,1
response,297,1747.813,1
response,298,1749.128,1
response,299,1756.998,1
response,300,3124.330,1
response,301,3117.663,1
response,302,2860.163,1
response,303,3155.348,1
response,304,2860.386,1
response,305,2877.812,1
response,306,2837.719,1
response,307,2856.441,1
response,308,2592.497,1
response,309,2614.553,1
response,310,2582.404,1
response,311,2596.627,1
response,312,2307.942,1
response,313,2621.645,1
response,314,2347.460,1
response,315,2337.590,1
response,316,2316.034,1
response,317,2306.886,1
response,318,2036.812,1
response,319,2296.978,1
response,320,2024.517,1
response,321,2025.961,1
response,322,2026.498,1
response,323,2014.757,1
response,324,1751.905,1
response,325,2019.275,1
response,326,1747.961,1
response,327,1754.646,1
response,328,1728.980,1
response,329,1753.720,1
response,330,1475.072,1
response,331,1746.202,1
response,332,2867.737,1
response,333,3093.422,1
response,334,2898.811,1
response,335,2829.534,1
response,336,2850.515,1
response,337,2844.034,1
response,338,2603.219,1
response,339,2857.718,1
response,340,2578.830,1
response,341,2566.960,1
response,342,4199.051,1
response,343,4357.235,1
response,344,3777.940,1
response,345,4234.217,1
response,346,3743.495,1
response,347,3711.403,1
response,348,3769.884,1
response,349,3839.347,1
response,350,3311.237,1
response,351,3773.125,1
response,352,3389.514,1
response,353,3301.941,1
response,354,3397.088,1
response,355,3342.051,1
response,356,2869.997,1
response,357,3264.071,1
response,358,797.925,1
response,359,2816.071,1
response,360,2837.737,1
response,361,2839.589,1
response,362,2579.108,1
response,363,2881.034,1
response,364,2566.553,1
response,365,2561.275,1
response,366,2558.923,1
response,367,2569.182,1
response,368,2282.015,1
response,369,2564.145,1
response,370,2290.738,1
response,371,2278.627,1
response,372,2278.775,1
response,373,2292.460,1
response,374,2025.146,1
response,375,2304.849,1
response,376,2032.608,1
response,377,2026.165,1
response,378,2030.442,1
response,379,2025.404,1
response,380,1768.646,1
response,381,2025.165,1
response,382,1759.979,1
response,383,1734.498,1
response,384,1743.757,1
response,385,1760.443,1
response,386,3138.570,1
response,387,3166.200,1
response,388,2860.996,1
response,389,2844.923,1
response,390,2920.163,1
response,391,2876.626,1
response,392,2565.904,1
response,393,2865.312,1
response,394,2585.571,1
response,395,2560.645,1
response,396,2607.960,1
response,397,2562.312,1
response,398,2314.886,1
response,399,2606.071,1
response,400,2297.535,1
response,401,2279.219,1
response,402,3028.515,1
response,403,2318.978,1
response,404,2041.886,1
response,405,2303.997,1
response,406,2016.719,1
response,407,2020.294,1
response,408,2025.553,1
response,409,2029.553,1
response,410,1746.091,1
response,411,2021.517,1
response,412,1728.590,1
response,413,1768.239,1
response,414,1759.979,1
response,415,1732.775,1
response,416,1482.220,1
response,417,1755.794,1
response,418,2875.978,1
response,419,3098.237,1
response,420,2822.293,1
response,421,2863.423,1
response,422,2826.793,1
response,423,2847.385,1
response,424,2597.200,1
response,425,2822.812,1
response,426,2558.293,1
response,427,2567.812,1
response,428,2587.608,1
response,429,2588.904,1
response,430,2299.960,1
response,431,2525.145,1
response,432,2267.238,1
