kind,sequence,rtt_us,ok
response,299,724.315,1
response,300,2132.133,1
response,301,3690.643,1
response,302,1388.672,1
response,303,2690.906,1
response,304,366.787,1
response,305,1927.261,1
response,306,3189.925,1
response,307,708.854,1
response,308,2246.626,1
response,309,3698.757,1
response,310,1348.306,1
response,311,2768.458,1
response,312,261.036,1
response,313,187.449,1
response,314,3279.013,1
response,315,828.919,1
response,316,2236.944,1
response,317,3966.426,1
response,318,1341.104,1
response,319,2764.869,1
response,320,318.366,1
response,321,1865.121,1
response,322,3270.758,1
response,323,185.486,1
response,324,2557.033,1
response,325,3796.201,1
response,326,1509.185,1
response,327,3068.904,1
response,328,331.346,1
response,329,1998.298,1
response,330,3655.195,1
response,331,835.588,1
response,332,2386.400,1
response,333,4142.994,1
response,334,1676.749,1
response,335,2911.548,1
response,336,458.041,1
response,337,2014.095,1
response,338,3432.215,1
response,339,984.448,1
response,340,2537.077,1
response,341,327.013,1
response,342,1516.262,1
response,343,3061.614,1
response,344,176.284,1
response,345,2042.558,1
response,346,3582.115,1
response,347,1007.354,1
response,348,2700.900,1
response,349,204.337,1
response,350,1525.966,1
response,351,3189.830,1
response,352,828.831,1
response,353,256.611,1
response,354,3611.469,1
response,355,1172.510,1
response,356,2724.309,1
response,357,236.798,1
response,358,1887.387,1
response,359,3254.995,1
response,360,732.801,1
response,361,2396.148,1
response,362,250.112,1
response,363,1234.674,1
response,364,2902.613,1
response,365,503.725,1
response,366,1771.545,1
response,367,187.468,1
response,368,845.571,1
response,369,2270.066,1
response,370,176.673,1
response,371,1380.202,1
response,372,3112.342,1
response,373,440.081,1
response,374,2099.783,1
response,375,3471.227,1
response,376,891.625,1
response,377,2453.648,1
response,378,4017.580,1
response,379,1435.791,1
response,380,3710.509,1
response,381,547.778,1
response,382,1970.701,1
response,383,181.358,1
response,384,1077.539,1
response,385,2505.073,1
response,386,189.394,1
response,387,1617.743,1
response,388,3049.241,1
response,389,194.283,1
response,390,2162.005,1
response,391,3718.568,1
response,392,172.581,1
response,393,2700.470,1
response,394,282.555,1
response,395,1683.260,1
response,396,3246.268,1
response,397,805.521,1
response,398,2226.428,1
response,399,3953.223,1
response,400,1532.789,1
response,401,2760.672,1
response,402,483.246,1
response,403,2074.217,1
response,404,3352.374,1
response,405,189.062,1
response,406,2431.083,1
response,407,3865.324,1
response,408,1416.298,1
response,409,2981.919,1
response,410,535.762,1
response,411,1966.503,1
response,412,3532.051,1
response,413,1096.559,1
response,414,2511.395,1
response,415,321.350,1
response,416,1639.673,1
response,417,3117.765,1
response,418,637.645,1
response,419,2187.102,1
response,420,3608.846,1
response,421,1179.277,1
response,422,2744.253,1
response,423,264.502,1
response,424,1855.679,1
response,425,3482.966,1
response,426,744.676,1
response,427,2274.858,1
response,428,3833.019,1
response,429,1398.209,1
response,430,176.544,1
response,431,390.272,1
response,432,1956.212,1
response,433,3441.916,1
response,434,1135.448,1
response,435,188.933,1
response,436,170.304,1
response,437,1506.796,1
response,438,3063.460,1
response,439,172.175,1
response,440,2061.910,1
response,441,3611.668,1
response,442,1039.528,1
response,443,2610.600,1
response,444,184.526,1
response,445,1600.495,1
response,446,3159.549,1
response,447,726.992,1
response,448,2288.620,1
response,449,382.496,1
response,450,1291.181,1
response,451,2847.883,1
response,452,171.934,1
response,453,1843.833,1
response,454,382.274,1
response,455,883.355,1
response,456,188.415,1
response,457,180.693,1
response,458,1386.973,1
response,459,3135.331,1
response,460,529.857,1
response,461,1964.512,1
response,462,3532.438,1
response,463,1091.102,1
response,464,2527.703,1
response,465,177.971,1
response,466,1650.033,1
response,467,3215.737,1
response,468,178.508,1
response,469,2216.443,1
response,470,3781.038,1
response,471,1208.762,1
response,472,2784.985,1
response,473,344.128,1
response,474,1771.508,1
response,475,3351.323,1
response,476,917.614,1
response,477,2380.381,1
response,478,4060.691,1
response,479,1474.081,1
response,480,2903.480,1
response,481,482.639,1
response,482,2039.771,1
response,483,3476.374,1
response,484,1037.088,1
response,485,2610.536,1
response,486,186.786,1
response,487,1607.279,1
response,488,184.675,1
response,489,751.086,1
response,490,2255.945,1
response,491,3757.398,1
response,492,1316.518,1
response,493,2746.881,1
response,494,324.055,1
response,495,1891.023,1
response,496,174.138,1
response,497,891.987,1
response,498,2634.612,1
response,499,339.851,1
response,500,408.292,1
response,501,3196.321,1
response,502,492.639,1
response,503,2127.011,1
response,504,187.674,1
response,505,188.915,1
response,506,2597.522,1
response,507,186.304,1
response,508,1741.681,1
response,509,3242.858,1
response,510,751.162,1
response,511,2314.261,1
response,512,3747.109,1
response,513,1327.724,1
response,514,2889.156,1
response,515,177.694,1
