index,time_from_trigger_s,sample_signed_approx_24bit,trigger,frame_error_latched
194,-1.256106667,-8192,0,0
195,-1.254589630,-7168,0,0
196,-1.253072593,-7168,0,0
197,-1.251555556,-7168,0,0
198,-1.250038519,-9216,0,0
199,-1.248521481,-11264,0,0
200,-1.247004444,-12288,0,0
201,-1.245487407,-9216,0,0
202,-1.243970370,-8192,0,0
203,-1.242453333,-9216,0,0
204,-1.240936296,-9216,0,0
205,-1.239419259,-7168,0,0
206,-1.237902222,-7168,0,0
207,-1.236385185,-6144,0,0
208,-1.234868148,-7168,0,0
209,-1.233351111,-7168,0,0
210,-1.231834074,-6144,0,0
211,-1.230317037,-3072,0,0
212,-1.228800000,-6144,0,0
213,-1.227282963,-5120,0,0
214,-1.225765926,-5120,0,0
215,-1.224248889,-4096,0,0
216,-1.222731852,-6144,0,0
217,-1.221214815,-4096,0,0
218,-1.219697778,-4096,0,0
219,-1.218180741,-4096,0,0
220,-1.216663704,-3072,0,0
221,-1.215146667,-6144,0,0
222,-1.213629630,-5120,0,0
223,-1.212112593,-5120,0,0
224,-1.210595556,-4096,0,0
225,-1.209078519,-5120,0,0
226,-1.207561481,-5120,0,0
227,-1.206044444,-4096,0,0
228,-1.204527407,-3072,0,0
229,-1.203010370,-4096,0,0
230,-1.201493333,-4096,0,0
231,-1.199976296,-4096,0,0
232,-1.198459259,-1024,0,0
233,-1.196942222,-1024,0,0
234,-1.195425185,-4096,0,0
235,-1.193908148,-2048,0,0
236,-1.192391111,-1024,0,0
237,-1.190874074,0,0,0
238,-1.189357037,0,0,0
239,-1.187840000,1024,0,0
240,-1.186322963,4096,0,0
241,-1.184805926,4096,0,0
242,-1.183288889,4096,0,0
243,-1.181771852,4096,0,0
244,-1.180254815,7168,0,0
245,-1.178737778,4096,0,0
246,-1.177220741,6144,0,0
247,-1.175703704,3072,0,0
248,-1.174186667,3072,0,0
249,-1.172669630,4096,0,0
250,-1.171152593,2048,0,0
251,-1.169635556,3072,0,0
252,-1.168118519,4096,0,0
253,-1.166601481,5120,0,0
254,-1.165084444,5120,0,0
255,-1.163567407,5120,0,0
256,-1.162050370,4096,0,0
257,-1.160533333,4096,0,0
258,-1.159016296,4096,0,0
259,-1.157499259,2048,0,0
260,-1.155982222,2048,0,0
261,-1.154465185,3072,0,0
262,-1.152948148,1024,0,0
263,-1.151431111,3072,0,0
264,-1.149914074,1024,0,0
265,-1.148397037,4096,0,0
266,-1.146880000,4096,0,0
267,-1.145362963,6144,0,0
268,-1.143845926,3072,0,0
269,-1.142328889,1024,0,0
270,-1.140811852,2048,0,0
271,-1.139294815,2048,0,0
272,-1.137777778,4096,0,0
273,-1.136260741,1024,0,0
274,-1.134743704,2048,0,0
275,-1.133226667,3072,0,0
276,-1.131709630,3072,0,0
277,-1.130192593,3072,0,0
278,-1.128675556,2048,0,0
279,-1.127158519,1024,0,0
280,-1.125641481,4096,0,0
281,-1.124124444,2048,0,0
282,-1.122607407,2048,0,0
283,-1.121090370,2048,0,0
284,-1.119573333,2048,0,0
285,-1.118056296,2048,0,0
286,-1.116539259,2048,0,0
287,-1.115022222,4096,0,0
288,-1.113505185,1024,0,0
289,-1.111988148,1024,0,0
290,-1.110471111,2048,0,0
291,-1.108954074,3072,0,0
292,-1.107437037,2048,0,0
293,-1.105920000,2048,0,0
294,-1.104402963,1024,0,0
295,-1.102885926,0,0,0
296,-1.101368889,0,0,0
297,-1.099851852,1024,0,0
298,-1.098334815,0,0,0
299,-1.096817778,-1024,0,0
300,-1.095300741,1024,0,0
301,-1.093783704,-1024,0,0
302,-1.092266667,-3072,0,0
303,-1.090749630,-2048,0,0
304,-1.089232593,-3072,0,0
305,-1.087715556,-2048,0,0
306,-1.086198519,-5120,0,0
307,-1.084681481,-5120,0,0
308,-1.083164444,-7168,0,0
309,-1.081647407,-8192,0,0
310,-1.080130370,-8192,0,0
311,-1.078613333,-7168,0,0
312,-1.077096296,-6144,0,0
313,-1.075579259,-6144,0,0
314,-1.074062222,-5120,0,0
315,-1.072545185,-7168,0,0
316,-1.071028148,-6144,0,0
317,-1.069511111,-3072,0,0
318,-1.067994074,-5120,0,0
319,-1.066477037,-2048,0,0
320,-1.064960000,-4096,0,0
321,-1.063442963,-5120,0,0
322,-1.061925926,-5120,0,0
323,-1.060408889,-5120,0,0
324,-1.058891852,-7168,0,0
325,-1.057374815,-5120,0,0
326,-1.055857778,-6144,0,0
327,-1.054340741,-6144,0,0
328,-1.052823704,-5120,0,0
329,-1.051306667,-7168,0,0
330,-1.049789630,-8192,0,0
331,-1.048272593,-7168,0,0
332,-1.046755556,-4096,0,0
333,-1.045238519,-8192,0,0
334,-1.043721481,-8192,0,0
335,-1.042204444,-6144,0,0
336,-1.040687407,-7168,0,0
337,-1.039170370,-5120,0,0
338,-1.037653333,-7168,0,0
339,-1.036136296,-6144,0,0
340,-1.034619259,-5120,0,0
341,-1.033102222,-4096,0,0
342,-1.031585185,-4096,0,0
343,-1.030068148,-4096,0,0
344,-1.028551111,-3072,0,0
345,-1.027034074,-4096,0,0
346,-1.025517037,-4096,0,0
347,-1.024000000,-3072,0,0
348,-1.022482963,-3072,0,0
349,-1.020965926,-3072,0,0
350,-1.019448889,-4096,0,0
351,-1.017931852,-5120,0,0
352,-1.016414815,-3072,0,0
353,-1.014897778,-2048,0,0
354,-1.013380741,-5120,0,0
355,-1.011863704,-1024,0,0
356,-1.010346667,0,0,0
357,-1.008829630,-1024,0,0
358,-1.007312593,0,0,0
359,-1.005795556,-5120,0,0
360,-1.004278519,-4096,0,0
361,-1.002761481,-3072,0,0
362,-1.001244444,-4096,0,0
363,-0.999727407,-2048,0,0
364,-0.998210370,0,0,0
365,-0.996693333,0,0,0
366,-0.995176296,1024,0,0
367,-0.993659259,1024,0,0
368,-0.992142222,1024,0,0
369,-0.990625185,4096,0,0
370,-0.989108148,2048,0,0
371,-0.987591111,3072,0,0
372,-0.986074074,4096,0,0
373,-0.984557037,3072,0,0
374,-0.983040000,4096,0,0
375,-0.981522963,3072,0,0
376,-0.980005926,5120,0,0
377,-0.978488889,0,0,0
378,-0.976971852,2048,0,0
379,-0.975454815,3072,0,0
380,-0.973937778,3072,0,0
381,-0.972420741,5120,0,0
382,-0.970903704,3072,0,0
383,-0.969386667,1024,0,0
384,-0.967869630,3072,0,0
385,-0.966352593,4096,0,0
386,-0.964835556,2048,0,0
387,-0.963318519,2048,0,0
388,-0.961801481,2048,0,0
389,-0.960284444,2048,0,0
390,-0.958767407,3072,0,0
391,-0.957250370,2048,0,0
392,-0.955733333,4096,0,0
393,-0.954216296,3072,0,0
394,-0.952699259,1024,0,0
395,-0.951182222,5120,0,0
396,-0.949665185,3072,0,0
397,-0.948148148,2048,0,0
398,-0.946631111,2048,0,0
399,-0.945114074,3072,0,0
400,-0.943597037,0,0,0
401,-0.942080000,0,0,0
402,-0.940562963,1024,0,0
403,-0.939045926,-3072,0,0
404,-0.937528889,-3072,0,0
405,-0.936011852,-2048,0,0
406,-0.934494815,-6144,0,0
407,-0.932977778,-3072,0,0
408,-0.931460741,-5120,0,0
409,-0.929943704,-2048,0,0
410,-0.928426667,-7168,0,0
411,-0.926909630,-6144,0,0
412,-0.925392593,-6144,0,0
413,-0.923875556,-6144,0,0
414,-0.922358519,-6144,0,0
